Contract,BFS(top-down) - Time,BFS(top-down) - Tokens,BFS(top-down) - Functions,BFS(down-top) - Time,BFS(down-top) - Tokens,BFS(down-top) - Functions,DD - Time,DD - Tokens,DD - Functions,DD - Contracts,DD Contract Level - time,DD Contract Level - Tokens,DD Contract Level - Functions,DD Contract Level - contracts,HDD(down-top) - Time,HDD(down-top) - Tokens,HDD(down-top) - Functions,HDD(top-down) - Time,HDD(top-down) - Tokens,HDD(top-down) - Functions,PERSES+CGMethod - Time,PERSES+CGMethod - Tokens,PERSES+CGMethod - Functions,PERSES - Time,PERSES - Tokens,PERSES - Functions,PERSES + function + Contract Level - Time,PERSES + function + Contract Level - Tokens,PERSES + function + Contract Level - Functions,PERSES + function + Contract Level - Contracts
smart1,73.4542095661163,477,19,45.5168788433075,484,20,51.11556186676,442,18,8,20.6422441005707,403,18,7,333.602909326553,442,18,273.636883735657,442,18,1490.81759881973,178,14,1762.83268904686,189,14,1038,189,13,5
smart2,20.7765798568726,201,5,16.0435261726379,201,5,9.4900476932526,201,5,4,8.5022931098938,166,5,3,27.9542860984802,201,5,19.8922445774078,201,5,108.512593269348,19,5,111.144165039063,19,5,95,19,5,2
smart3,10.8548047542572,269,4,11.3379902839661,269,4,7.2076737880707,269,4,12,22.3920176029205,249,4,9,5.66313052177429,269,4,15.0563490390778,269,4,403.652660131455,100,3,432.321254491806,100,3,361,100,3,6
smart4,75.2105903625488,220,5,98.0791866779327,473,19,25.5790367126465,162,3,5,7.57162547111511,162,3,5,105.916016578674,162,3,59.4819843769074,162,3,94.8784410953522,22,3,191.146084785461,22,3,94,22,3,2
smart5,36.1645610332489,281,6,24.6344966888428,505,17,14.2868030071259,235,2,6,12.4812517166138,148,2,3,28.4272587299347,235,2,27.4193596839905,235,2,185.687778234482,25,1,234.991265535355,25,1,138,25,1,1
smart6,110.782588720322,566,7,149.73309469223,840,26,39.94952750206,436,7,10,14.8001191616058,275,5,3,112.342195034027,370,4,83.2035262584686,436,7,386.706202030182,25,2,445.193598747253,25,2,395,25,2,1
smart7,6.28780078887939,403,3,6.6114354133606,403,3,5.7251758575439,403,3,8,17.6631097793579,315,2,3,3.6139714717865,403,3,4.69945549964905,403,3,205.663219213486,35,2,226.514430761337,35,2,135,35,2,2
smart8,56.5018351078033,466,15,79.1822946071625,615,37,33.3935430049896,428,15,6,12.0114207267761,340,10,5,113.281864643097,417,13,86.2262995243072,354,10,347.005393266678,72,10,431.816219568253,72,10,218,72,10,4
smart9,26.6643407344818,265,6,22.5046854019165,268,6,26.8926663398743,212,4,3,5.10252809524536,196,4,2,73.5209302902222,212,4,31.3381488323212,212,4,134.989662885666,26,2,167.904296875,26,2,134,26,2,1
smart10,25.4236845970154,169,4,19.0804464817047,280,10,10.4546372890472,159,3,3,4.48175358772278,159,3,3,71.0969963073731,159,3,31.1892919540405,159,3,154.918678998947,36,3,290.856739997864,36,3,154,36,3,2
smart11,677.403628110886,725,15,455.033600330353,801,27,91.335475921631,435,5,14,14.1892232894897,314,4,8,516.442080497742,435,5,252.902135133743,435,5,306.062165498734,60,3,497.223371267319,60,3,251,60,3,4
smart12,94.6623482704163,311,7,178.22719335556,330,11,34.086196899414,222,5,9,12.0578279495239,204,5,9,100.75789308548,22,5,145.53782248497,222,5,284.125683069229,59,2,297.477855205536,59,2,224,59,2,7
smart13,47.4826798439026,307,3,55.183112859726,650,26,29.3117439746857,251,2,10,11.9801158905029,92,2,4,181.808064222336,351,6,124.480454206467,260,2,135.465280771256,28,2,266.002220153809,28,2,121,28,2,2
smart14,3362.20727825165,1394,39,2779.9547264576,2671,73,234.364916086197,1021,19,11,26.6729466915131,993,17,6,1940.07174444199,1021,19,1287.38820314407,1021,19,1822.82526826859,255,15,2202.49178791046,255,15,1751,255,15,5
smart15,18.0575323104858,145,3,13.1145248413086,229,8,18.0145945072174,137,3,3,3.99268841743469,76,3,1,51.1569700241089,137,3,39.7624914646149,127,3,59.6913731098175,22,3,162.952202796936,22,3,56,22,3,1
smart16,12.6028726100922,129,1,19.1629421710968,227,5,7.57837843894959,112,1,2,2.10789430141449,96,1,1,19.1766781806946,143,2,18.5797777175903,121,1,308.138765335083,39,1,316.128854751587,39,1,253,39,1,1
smart17,88.0702624320984,405,2,107.721565008163,676,24,13.0159952640533,300,1,12,14.4356818199158,85,1,2,81.6968724727631,300,1,109.43190908432,300,1,181.624879598618,51,1,424.022599935532,51,1,42,49,1,2
smart18,297.381024837494,654,23,209.672956466675,715,29,23.6514339447021,301,4,11,15.3603157997131,225,4,5,167.520987272263,301,4,55.3401010036469,301,4,286.158621549606,49,3,398.352025747299,49,3,208,49,3,3
smart19,80.2716505527496,392,2,105.691755771637,676,24,38.3638417720795,287,1,12,15.2534153461456,62,1,1,83.6066489219666,287,1,147.114264726639,329,3,45.6500046253204,15,1,97.0305347442627,15,1,33,15,1,1
smart20,655.0920317173,844,13,506.873788356781,1088,34,65.9398910999298,400,4,9,16.7363955974579,350,4,6,216.138952732086,400,4,102.303903341293,400,4,253.183210134506,48,2,529.643523454666,48,2,215,48,2,4
smart21,111.729623794556,354,11,30.0020709037781,436,20,12.8151075839996,222,7,4,7.33609127998352,190,6,3,141.768225431442,222,7,137.845462560654,222,7,353.077648878098,69,6,459.197713851929,70,7,316,70,7,2
smart22,137.832954883575,253,7,185.594355344772,571,27,27.8027365207672,183,3,1,6.8543267250061,69,3,1,174.597876787186,183,3,513.029118299484,183,3,130.915529966354,28,3,176.478847742081,28,3,86,28,3,1
