language,benchmark,initial_tokens,scythe_time,scythe_tokens,perses_time,perses_tokens,gp_time,gp_tokens
Solidity,smart1,1209,84.23,339,1105.72,187,99.12,183
Solidity,smart2,1287,17.13,123,76.12,34,45.67,30
Solidity,smart3,1644,81.12,130,340.85,85,158.26,85
Solidity,smart4,935,42.52,109,84.15,22,55.44,22
Solidity,smart5,80,15.08,80,129.03,24,57.27,24
Solidity,smart6,3141,81.04,146,269.65,24,155.35,20
Solidity,smart7,3782,107.02,87,129.82,19,120.46,19
Solidity,smart8,953,58.24,338,353.28,72,94.26,72
Solidity,smart9,835,32.12,221,138.62,25,85.16,25
Solidity,smart10,581,31.34,118,123.29,34,73.14,34
Solidity,smart11,276,21.04,76,128.15,41,88.17,41
Solidity,smart12,1316,86.81,84,135.16,41,102.88,39
Solidity,smart13,1862,48.93,41,63.16,26,61.16,22
Solidity,smart14,4142,381.81,744,1771.17,253,634.19,253
Solidity,smart15,726,10.77,76,54.51,22,23.15,22
Solidity,smart16,429,23.79,46,156.61,38,96.17,36
Solidity,smart17,2603,59.12,54,33.16,17,77.16,17
Solidity,smart18,3964,118.54,153,231.17,44,180.83,40
Solidity,smart19,2603,43.62,62,38.62,15,58.83,15
Solidity,smart20,255,14.23,255,208.26,44,89.27,44
Solidity,smart21,2172,85.23,193,324.27,76,98.72,76
Solidity,smart22,1742,58.89,54,107.27,29,70.27,29
Solidity,smart23,433,15.45,32,29.27,16,25.28,16
Solidity,smart24,2070,71.17,74,159.27,62,86.26,62
Solidity,smart25,1929,325.71,813,2229.26,427,395.53,423
